등록유형,조달구분,공고시스템명,계약구분,계약일자,계약번호,계약변경차수,물품순번,부물품순번,최종계약여부,수요기관명,수요기관코드,수요기관구분,수요기관지역명,계약건명(품명),계약법구분,조항호코드,조항호명,계약방법,물품분류번호,품명,세부물품분류번호,세부품명,물품식별번호,품목,계약승인일자,단위,수량,증감수량,금액(USD),실통화금액,실통화금액코드명,실통화금액국가명,계약수량,계약금액(USD),USD환율(BASIC),USD환율(TTS),실통화계약금액,통화국코드,통화국가명,업체명,업체사업자등록번호,업체기업구분명,외자공급업체,외자제작업체,인도조건,HSK번호,원산지,최초계약금액(USD),조달요청번호,입찰공고번호,입찰공고차수,낙찰자결정방법,장기계속계약여부,장기계약차수
나라장터(G2B),중앙조달,,총액계약,20210127,00201313,00,1,0,Y,한화에어로스페이스 (주),ZT01081,기타기관,경상남도 창원시 성산구,레이저용접기,국가계약법,,,일반경쟁,23271405,레이저용접기,2327140501,레이저용접기,20080288,레이저용접기,20210127,SET,1,1,841500,841500,USD,미국,1,841500,1103,1113.8,841500,USD,미국,진아교역,1093176586,중소기업,Liburdi Automation Inc.,Liburdi Automation Inc.,도착장소인도(DAP),8515803000,캐나다,841500,20RD0115,20201017520,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210125,00210003,00,1,0,Y,재단법인춘천바이오산업진흥원,Z006579,기타기관,강원도 춘천시,액체크로마토그래피,국가계약법,,,일반경쟁,41115705,액체크로마토그래프,4111570501,액체크로마토그래피,24137898,"액체크로마토그래피, Bio-rad laboratories, US/NGC Scout 10 Plus",20210125,SYSTEM,1,1,67030,67030,USD,미국,1,67030,1102.3,1113.1,67030,USD,미국,주식회사 비엠에스,2208117666,중소기업,Bio-Rad PACIFIC LTD,Bio-Rad,지정장소 운송인 인도(FCA),9027200000,미국,67030,20RD0138,20201131934,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210121,00210016,00,1,0,N,재단법인경북하이브리드부품연구원,Z014661,기타기관,경상북도 영천시,피로시험기,지방계약법,,,일반경쟁,41114608,피로시험기,4111460801,피로시험기,20881137,"피로시험기, 기타물품포함, 수요기관규격",20210121,SET,1,1,487628.75,402500,EUR,유로,1,487628.75,1100,1110.7,402500,EUR,유로,엠티엠코퍼레이션주식회사,1298683586,중소기업,ZwickRoell Pte. Ltd.,ZwickRoell GmbH and Co. KG,지정목적항 운임.보험료포함인도(CIF),9024104000,독일,487628.75,20RD0153,20201128594,00,[규격동시]규격가격 동시 입찰,,
나라장터(G2B),중앙조달,,총액계약,20210121,00210016,01,1,0,Y,재단법인경북하이브리드부품연구원,Z014661,기타기관,경상북도 영천시,피로시험기,지방계약법,,,일반경쟁,41114608,피로시험기,4111460801,피로시험기,20881137,"피로시험기, 기타물품포함, 수요기관규격",20210209,SET,1,0,487628.75,402500,EUR,유로,1,487628.75,1100,1110.7,402500,EUR,유로,엠티엠코퍼레이션주식회사,1298683586,중소기업,ZwickRoell Pte. Ltd.,ZwickRoell GmbH and Co. KG,지정목적항 운임.보험료포함인도(CIF),9024104000,독일,487628.75,20RD0153,20201128594,00,[규격동시]규격가격 동시 입찰,,
나라장터(G2B),중앙조달,,총액계약,20210126,00210018,00,1,0,N,한국자동차연구원,Z005460,기타기관,충청남도 천안시 동남구,실기간 열화 분석용 집속이온빔 시스템,국가계약법,,,일반경쟁,41111711,전자현미경,4111171101,전자현미경,23166459,"전자현미경, Fei, CZ/Helios G4",20210126,SYSTEM,1,1,1230000,1230000,USD,미국,1,1230000,1103.2,1114,1230000,USD,미국,에프이아이코리아 주식회사,1048642437,중소기업,FEI Hong Kong Company Limited,FEI Company,지정장소 운송인 인도(FCA),9012101090,체코,1230000,20RD0162,20201127762,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210126,00210018,01,1,0,Y,한국자동차연구원,Z005460,기타기관,충청남도 천안시 동남구,실기간 열화 분석용 집속이온빔 시스템,국가계약법,,,일반경쟁,41111711,전자현미경,4111171101,전자현미경,23166459,"전자현미경, Fei, CZ/Helios G4",20210202,SYSTEM,1,0,1230000,1230000,USD,미국,1,1230000,1103.2,1114,1230000,USD,미국,에프이아이코리아 주식회사,1048642437,중소기업,FEI Hong Kong Company Limited,FEI Company,지정장소 운송인 인도(FCA),9012101090,체코,1230000,20RD0162,20201127762,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210113,00210019,00,1,0,Y,한밭대학교,7003433,국가기관,대전광역시 유성구,주사전자현미경,국가계약법,,,일반경쟁,41111720,주사전자현미경(SEM),4111172001,주사전자현미경,23817271,"주사전자현미경, Jeol, JP/JSM-IT500A",20210113,SET,1,1,83818.67,8700000,JPY,일본,1,83818.67,1099.9,1110.6,8700000,JPY,일본,(주)지올코리아,2118601243,중소기업,JEOL LTD.,JEOL LTD.,지정장소 운송인 인도(FCA),9012101090,일본,83818.67,20GA1047,20201214358,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210114,00210021,00,1,0,Y,경기도 경기도동물위생시험소,6412102,지자체,경기도 수원시 권선구,질량분석기,지방계약법,,,일반경쟁,41115404,질량분석기,4111540401,질량분석기,23680632,"질량분석기, Ab sciex, SG/QTRAP 5500+, 5~1250m/z",20210114,SYSTEM,1,1,260000,260000,USD,미국,3,334011.53,1095,1105.7,334011.53,USD,미국,한국랩스 주식회사,6778801092,중소기업,AB SCIEX (Distribution),AB SCIEX (Distribution),지정장소 운송인 인도(FCA),9027301000,싱가포르,334011.53,20GA1079,20201235286,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210114,00210021,00,1,1,Y,경기도 경기도동물위생시험소,6412102,지자체,경기도 수원시 권선구,질량분석기,지방계약법,,,일반경쟁,41115404,질량분석기,4111540401,질량분석기,23680632,"질량분석기, Ab sciex, SG/QTRAP 5500+, 5~1250m/z",20210114,SYSTEM,1,1,59692.69,6200000,JPY,일본,3,334011.53,1095,1105.7,334011.53,USD,미국,한국랩스 주식회사,6778801092,중소기업,"OSAKA SODA CO., LTD.","OSAKA SODA CO., LTD.",지정장소 운송인 인도(FCA),9027301000,일본,334011.53,20GA1079,20201235286,00,[일반/지명]규격적합자 중 최저가,,
나라장터(G2B),중앙조달,,총액계약,20210114,00210021,00,1,2,Y,경기도 경기도동물위생시험소,6412102,지자체,경기도 수원시 권선구,질량분석기,지방계약법,,,일반경쟁,41115404,질량분석기,4111540401,질량분석기,23680632,"질량분석기, Ab sciex, SG/QTRAP 5500+, 5~1250m/z",20210114,SYSTEM,1,1,14318.84,10500,GBP,영국,3,334011.53,1095,1105.7,334011.53,USD,미국,한국랩스 주식회사,6778801092,중소기업,PEAK Scientific Instruments Ltd.,PEAK Scientific Instruments Ltd.,지정장소 운송인 인도(FCA),9027301000,영국,334011.53,20GA1079,20201235286,00,[일반/지명]규격적합자 중 최저가,,
